question,answers,wrongChoices,explanation,ordered,generatedWrongChoices
【1:基礎理論】2進数 とは？,0と1の2つの数字で数値を表現する方法。コンピュータ内部のデータ表現の基本,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】16進数 とは？,0〜9とA〜Fの16種類の記号で数値を表す方法。メモリアドレスや色コードの表記に使用,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】基数変換 とは？,ある基数の数値を別の基数の数値に変換すること。例：10進数→2進数,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】補数表現 とは？,負の数をコンピュータ内部で表現する方法。2の補数が一般的,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】固定小数点数 とは？,小数点の位置を固定して数値を表現する方式。整数演算に適する,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】浮動小数点数 とは？,仮数部と指数部で数値を表現する方式。広い範囲の実数を扱える,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】オーバーフロー とは？,演算結果がデータ型で表現可能な範囲を超えること,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】桁落ち とは？,絶対値がほぼ等しい2つの数の減算で有効桁数が大幅に減少する現象,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】情報落ち とは？,絶対値の大きい数と小さい数の加減算で、小さい方の値が計算結果に反映されない現象,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】論理シフト とは？,ビット列を左右にずらす操作。空いたビットには0を入れる,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】算術シフト とは？,符号ビットを保持したままビット列をずらす操作。符号付き整数の乗除算に使用,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】ベン図 とは？,集合の関係を円の重なりで視覚的に表現する図,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】和集合 とは？,2つの集合の少なくとも一方に属する要素全体の集合（A∪B）,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】積集合 とは？,2つの集合の両方に属する要素全体の集合（A∩B）,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】補集合 とは？,全体集合から特定の集合を除いた残りの集合,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】論理和（OR） とは？,入力のどちらか一方でも1なら出力が1になる論理演算,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】論理積（AND） とは？,入力がすべて1のときだけ出力が1になる論理演算,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】排他的論理和（XOR） とは？,2つの入力が異なるとき出力が1になる論理演算,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】否定（NOT） とは？,入力の0と1を反転させる論理演算,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】ド・モルガンの法則 とは？,論理演算の否定に関する法則。NOT(A AND B) = NOT A OR NOT B など,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】真理値表 とは？,論理式の全ての入力の組合せに対する出力結果を一覧にした表,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】BCD（2進化10進数） とは？,10進数の各桁を4ビットの2進数で表現する符号化方式,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】順列 とは？,n個からr個を選んで並べる場合の数。nPr,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】組合せ とは？,n個からr個を選ぶ場合の数。順序は考慮しない。nCr,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】確率 とは？,ある事象が起こる可能性を0〜1の数値で表したもの,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】期待値 とは？,確率変数の取りうる値にその確率を掛けた合計。平均的な結果の予測,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】ベイズの定理 とは？,事前確率と観測データから事後確率を計算する定理,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】正規分布 とは？,左右対称の釣り鐘型の確率分布。自然現象や測定誤差によく見られる,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】標準偏差 とは？,データのばらつきを表す指標。分散の正の平方根,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】相関係数 とは？,2つの変数の直線的な関係の強さを-1〜1で表す指標,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】回帰分析 とは？,変数間の関係を数式で表現する統計手法。単回帰・重回帰がある,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】仮説検定 とは？,統計的にある仮説が正しいかどうかを判定する手法。帰無仮説と対立仮説を設定,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】待ち行列理論 とは？,サービスを待つ行列の振る舞いを数学的に分析する理論。M/M/1モデルが基本,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】グラフ理論 とは？,頂点と辺で構成されるグラフの性質を扱う数学分野,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】線形計画法 とは？,制約条件の下で目的関数を最大化または最小化する最適化手法,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】動的計画法 とは？,問題を部分問題に分割し、各部分の最適解を組合せて全体の最適解を求める手法,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】情報量（ビット） とは？,事象の起こりにくさの尺度。確率pの事象の情報量は-log2(p)ビット,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】ハフマン符号 とは？,出現頻度の高い文字に短い符号を割り当てるデータ圧縮方式,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】A/D変換 とは？,アナログ信号をデジタル信号に変換すること。標本化→量子化→符号化の順,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】ASCII とは？,英数字・記号を7ビットで表す文字コード。128文字を表現可能,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】Unicode とは？,世界中の文字を一つの文字集合で表現するための国際的な文字コード規格,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】オートマトン とは？,入力に応じて状態が遷移する抽象的な計算モデル。状態遷移図で表現,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】BNF記法 とは？,プログラム言語の構文規則を形式的に定義する記法,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】正規表現 とは？,文字列のパターンを表現するための記法。検索や置換に使用,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】逆ポーランド記法 とは？,演算子を被演算子の後に置く数式の表記法。スタックで効率的に計算可能,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】時間計算量 とは？,アルゴリズムの実行時間がデータ量に対してどう増加するかの指標。O(n)等で表記,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】教師あり学習 とは？,正解ラベル付きのデータで学習する機械学習手法。分類・回帰に使用,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】教師なし学習 とは？,正解ラベルなしでデータの構造を発見する機械学習手法。クラスタリング等,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】強化学習 とは？,試行錯誤を通じて報酬を最大化する行動方策を学習する手法,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】ニューラルネットワーク とは？,人間の神経細胞の仕組みを模した情報処理モデル,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】ディープラーニング とは？,多層のニューラルネットワークによる学習手法。画像認識等で高い性能,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】過学習 とは？,訓練データに適合しすぎて未知のデータに対する予測精度が低下する現象,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】CNN とは？,畳み込みニューラルネットワーク。画像認識に適したディープラーニングモデル,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】RNN とは？,リカレントニューラルネットワーク。時系列データの処理に適したモデル,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】大規模言語モデル（LLM） とは？,大量のテキストデータで訓練された大規模な言語モデル。文章生成等に活用,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】GAN とは？,敵対的生成ネットワーク。生成器と識別器を競わせてデータを生成するモデル,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】全二重通信 とは？,双方向に同時にデータを送受信できる通信方式,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】半二重通信 とは？,双方向の通信が可能だが、同時には一方向のみの通信方式,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】PCM とは？,パルス符号変調。アナログ音声をデジタルに変換する標準的な方式,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】パリティチェック とは？,データにパリティビットを付加して1ビットの誤りを検出する方式,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】CRC とは？,巡回冗長検査。多項式を用いた高精度な誤り検出方式,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】ハミング符号 とは？,1ビットの誤りを検出し自動訂正できる誤り訂正符号,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】フィードバック制御 とは？,出力結果を入力側に戻して目標値との差を修正する制御方式,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】フィードフォワード制御 とは？,外乱を検出して事前に補正する制御方式。遅延なく制御可能,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】センサー とは？,光・温度・圧力等の物理量を電気信号に変換する装置,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【1:基礎理論】アクチュエーター とは？,電気信号を機械的な動作に変換する装置。モーターや油圧シリンダ等,,大分類:1:基礎理論 / 中分類:1:基礎理論,,
【2:アルゴリズムとプログラミング】配列 とは？,同じデータ型の要素を連続したメモリ領域に格納するデータ構造。添字でアクセス,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】連結リスト とは？,各要素が次の要素へのポインタを持つデータ構造。挿入・削除が容易,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】スタック とは？,後入れ先出し（LIFO）のデータ構造。push（挿入）とpop（取出し）で操作,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】キュー とは？,先入れ先出し（FIFO）のデータ構造。待ち行列の処理等に使用,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】木構造 とは？,根・節・葉から成る階層的なデータ構造。ファイルシステム等で利用,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】2分探索木 とは？,左の子は親より小さく、右の子は親より大きい値を持つ木構造,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】B木 とは？,多分木の一種。データベースのインデックスに使用される平衡木,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】ヒープ とは？,親が子以上（または以下）の値を持つ完全2分木。優先度付きキューに使用,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】ハッシュ表 とは？,ハッシュ関数でキーから格納位置を計算するデータ構造。高速検索が可能,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】バブルソート とは？,隣接する要素を比較・交換して整列する単純なソートアルゴリズム。O(n²),,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】クイックソート とは？,基準値で分割を繰り返して整列する高速ソート。平均O(n log n),,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】マージソート とは？,分割統治法に基づく安定ソート。常にO(n log n),,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】選択ソート とは？,最小（最大）の要素を順に選んで整列するソートアルゴリズム,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】挿入ソート とは？,未整列の要素を整列済みの適切な位置に挿入するソートアルゴリズム,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】ヒープソート とは？,ヒープ構造を利用したソートアルゴリズム。O(n log n),,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】線形探索 とは？,先頭から順に一つずつ比較して目的のデータを探す探索法。O(n),,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】2分探索 とは？,整列済みデータの中央値と比較して探索範囲を半分に絞る探索法。O(log n),,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】ダイクストラ法 とは？,重み付きグラフにおける最短経路を求めるアルゴリズム,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】再帰 とは？,関数が自分自身を呼び出す処理構造。フィボナッチ数列や階乗の計算等に使用,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】深さ優先探索 とは？,行けるところまで深く探索し、行き止まりで戻る探索法。スタックを使用,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】幅優先探索 とは？,近い頂点から順に探索する方法。キューを使用,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】形態素解析 とは？,文を最小の意味単位（形態素）に分割する自然言語処理の技術,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】変数 とは？,データを格納するための名前付きメモリ領域,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】データ型 とは？,変数が保持するデータの種類。整数型、実数型、文字型、論理型等,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】オブジェクト指向 とは？,データと処理をオブジェクトとして一体化する設計手法。継承・カプセル化・多態性が特徴,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】クラス とは？,オブジェクトの設計図。属性（データ）とメソッド（操作）を定義,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】継承 とは？,既存クラスの属性・メソッドを受け継いで新しいクラスを定義する仕組み,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】ポリモーフィズム（多態性） とは？,同じインタフェースで異なる動作を実現する仕組み。オーバーライド等,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】カプセル化 とは？,データと操作を一体化し、外部から内部の詳細を隠蔽する仕組み,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】コンストラクタ とは？,オブジェクト生成時に自動的に呼び出されるメソッド。初期化処理を行う,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】API とは？,アプリケーション間やOSとの間でやり取りするためのインタフェース,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】Ajax とは？,ページ遷移なしにサーバと非同期通信してWebページの一部を更新する技術,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】手続型言語 とは？,命令を順序通りに実行する言語。C、Fortran、COBOL等,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】スクリプト言語 とは？,インタプリタ方式で実行される比較的軽量な言語。Python、Ruby等,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】マークアップ言語 とは？,文書の構造や見た目をタグで記述する言語。HTML、XML等,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】HTML とは？,Webページの構造を記述するマークアップ言語,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】XML とは？,独自タグでデータ構造を定義できるマークアップ言語。データ交換に使用,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】CSS とは？,HTMLの見た目（スタイル）を定義するスタイルシート言語,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】JSON とは？,JavaScriptオブジェクト表記に基づく軽量なデータ交換フォーマット,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【2:アルゴリズムとプログラミング】UML とは？,オブジェクト指向設計のための統一モデリング言語。クラス図、シーケンス図等,,大分類:1:基礎理論 / 中分類:2:アルゴリズムとプログラミング,,
【3:コンピュータ構成要素】CPU とは？,コンピュータの中央処理装置。命令の実行と制御を行う,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】GPU とは？,画像処理に特化した演算装置。並列計算能力が高くAI処理にも活用,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】RISC とは？,命令の種類を少なく単純にし、高速実行を目指すプロセッサアーキテクチャ,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】CISC とは？,複雑で多機能な命令を備えたプロセッサアーキテクチャ,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】レジスタ とは？,CPU内部にある高速な記憶装置。演算対象のデータや命令を一時的に保持,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】プログラムカウンタ とは？,次に実行する命令のメモリアドレスを保持するレジスタ,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】割込み とは？,実行中の処理を中断し、優先度の高い処理を実行する仕組み,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】パイプライン とは？,命令の各段階を並行して実行し処理を高速化する技術,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】スーパースカラ とは？,複数のパイプラインで複数の命令を同時に実行する方式,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】マルチコアプロセッサ とは？,1つのCPUに複数の演算コアを搭載したプロセッサ,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】MIPS とは？,1秒間に実行できる命令数を百万単位で表すプロセッサの性能指標,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】クロック周波数 とは？,CPUの動作速度を表す指標。GHz単位で表す,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】RAM とは？,読み書き可能な揮発性の主記憶装置。電源を切るとデータが消える,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】ROM とは？,読み出し専用の不揮発性メモリ。BIOSなどの格納に使用,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】DRAM とは？,定期的なリフレッシュが必要なRAM。主記憶装置に使用。安価で大容量,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】SRAM とは？,リフレッシュ不要で高速なRAM。キャッシュメモリに使用,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】フラッシュメモリ とは？,書き換え可能な不揮発性メモリ。USBメモリやSSDに使用,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】キャッシュメモリ とは？,CPUと主記憶の速度差を埋める高速小容量のメモリ,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】記憶階層 とは？,レジスタ→キャッシュ→主記憶→補助記憶の順で容量が増え速度が下がる構造,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】メモリインターリーブ とは？,主記憶を複数バンクに分割し並行アクセスで高速化する技術,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】ヒット率 とは？,キャッシュメモリに目的のデータが存在する確率,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】USB とは？,パソコンと周辺機器を接続する汎用シリアルインタフェース規格,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】HDMI とは？,映像と音声をデジタルで伝送するインタフェース規格,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】Bluetooth とは？,近距離無線通信の規格。マウスやイヤホン等の接続に使用,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】NFC とは？,近距離無線通信技術。交通系ICカードや電子マネーに使用,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】DMA とは？,CPUを介さず周辺装置とメモリ間で直接データ転送を行う方式,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【3:コンピュータ構成要素】SSD とは？,フラッシュメモリを使った補助記憶装置。HDDより高速で耐衝撃性が高い,,大分類:2:コンピュータシステム / 中分類:3:コンピュータ構成要素,,
【4:システム構成要素】クライアントサーバシステム とは？,サービスを要求するクライアントと提供するサーバで構成するシステム形態,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】3層アーキテクチャ とは？,プレゼンテーション層・ファンクション層・データ層の3層で構成するシステム,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】仮想化 とは？,物理的な資源を論理的に分割・統合して利用する技術,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】クラウドコンピューティング とは？,インターネット経由でコンピュータ資源を利用するサービス形態,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
【4:システム構成要素】SaaS とは？,ソフトウェアをインターネット経由でサービスとして提供する形態,,大分類:2:コンピュータシステム / 中分類:4:システム構成要素,,
