question,answers,wrongChoices,explanation,ordered,generatedWrongChoices
【12:システム開発技術】モジュール設計 とは？,プログラムを機能単位のモジュールに分割する設計,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】コーディング とは？,設計書に基づいてプログラムを記述する工程,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】単体テスト とは？,個々のモジュールの動作を検証するテスト,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】結合テスト とは？,複数のモジュールを結合した際の動作を検証するテスト,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】システムテスト とは？,システム全体が要件を満たしているか検証するテスト,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】受入れテスト とは？,発注者が要件を満たしているか確認するテスト,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】ホワイトボックステスト とは？,プログラムの内部構造に着目したテスト。命令網羅・分岐網羅等,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】ブラックボックステスト とは？,入出力仕様に基づくテスト。同値分割・境界値分析等,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】レグレッションテスト とは？,修正後に他の箇所に影響がないことを確認するテスト,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【12:システム開発技術】レビュー とは？,成果物を人間の目で検証する品質管理活動。ウォークスルー・インスペクション等,,大分類:4:開発技術 / 中分類:12:システム開発技術,,
【13:ソフトウェア開発管理技術】ウォーターフォールモデル とは？,要件定義→設計→実装→テストを順に進める開発モデル,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】アジャイル開発 とは？,短い反復サイクルで開発を進め変化に対応する手法の総称,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】スクラム とは？,アジャイル開発のフレームワーク。スプリント単位で開発を反復,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】XP（エクストリームプログラミング） とは？,ペアプログラミング・TDD等のプラクティスを用いるアジャイル手法,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】プロトタイピング とは？,試作品を作ってユーザーの確認を得ながら開発する手法,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】スパイラルモデル とは？,設計→プロトタイプ→評価→計画を繰り返す段階的開発モデル,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】DevOps とは？,開発チームと運用チームが連携し、迅速なリリースを実現する手法,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】CI/CD とは？,継続的インテグレーション/継続的デリバリー。ビルド・テスト・デプロイの自動化,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】リファクタリング とは？,外部動作を変えずにプログラムの内部構造を改善すること,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】構成管理 とは？,ソフトウェアの変更履歴やバージョンを体系的に管理すること,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【13:ソフトウェア開発管理技術】Git とは？,分散型バージョン管理システム。ソースコードの変更履歴を管理,,大分類:4:開発技術 / 中分類:13:ソフトウェア開発管理技術,,
【14:プロジェクトマネジメント】PMBOK とは？,プロジェクトマネジメントの知識体系ガイド。PMI策定,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【14:プロジェクトマネジメント】WBS とは？,作業分解構成図。プロジェクトの作業を階層的に細分化した図,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【14:プロジェクトマネジメント】ガントチャート とは？,作業項目と期間を棒グラフで表すスケジュール管理図,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【14:プロジェクトマネジメント】PERT とは？,作業の順序関係と所要時間からクリティカルパスを求める手法,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【14:プロジェクトマネジメント】クリティカルパス とは？,プロジェクト全体の最短完了日を決定する最長の経路,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【14:プロジェクトマネジメント】アローダイアグラム とは？,作業の順序と所要時間を矢印と結合点で表す図,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【14:プロジェクトマネジメント】EVM（アーンドバリュー） とは？,計画値・出来高・実コストを比較しプロジェクトの進捗とコストを管理する手法,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【14:プロジェクトマネジメント】ステークホルダ とは？,プロジェクトに影響を与える、または影響を受ける関係者,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【14:プロジェクトマネジメント】リスクマネジメント とは？,リスクの特定・分析・対応計画の策定と監視を行う管理活動,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【14:プロジェクトマネジメント】ファンクションポイント法 とは？,機能の数と複雑度から開発規模を見積もる手法,,大分類:5:プロジェクトマネジメント / 中分類:14:プロジェクトマネジメント,,
【15:サービスマネジメント】ITIL とは？,ITサービスマネジメントのベストプラクティス集,,大分類:6:サービスマネジメント / 中分類:15:サービスマネジメント,,
【15:サービスマネジメント】SLA とは？,サービスレベル合意書。サービスの品質基準を定めた合意文書,,大分類:6:サービスマネジメント / 中分類:15:サービスマネジメント,,
【15:サービスマネジメント】インシデント管理 とは？,障害等のインシデント発生時にサービスを速やかに復旧させる活動,,大分類:6:サービスマネジメント / 中分類:15:サービスマネジメント,,
【15:サービスマネジメント】問題管理 とは？,インシデントの根本原因を特定し再発を防止する活動,,大分類:6:サービスマネジメント / 中分類:15:サービスマネジメント,,
【15:サービスマネジメント】変更管理 とは？,システムの変更を計画的・体系的に実施管理する活動,,大分類:6:サービスマネジメント / 中分類:15:サービスマネジメント,,
【15:サービスマネジメント】リリース管理 とは？,変更されたソフトウェアやハードウェアの本番環境への導入を管理する活動,,大分類:6:サービスマネジメント / 中分類:15:サービスマネジメント,,
【15:サービスマネジメント】サービスデスク とは？,ユーザーからの問い合わせや障害報告を受け付ける窓口,,大分類:6:サービスマネジメント / 中分類:15:サービスマネジメント,,
【15:サービスマネジメント】ファシリティマネジメント とは？,建物・設備等の物理的環境を効率的に管理すること,,大分類:6:サービスマネジメント / 中分類:15:サービスマネジメント,,
【15:サービスマネジメント】UPS（無停電電源装置） とは？,停電時に電力を供給し機器の安全な停止や継続運転を可能にする装置,,大分類:6:サービスマネジメント / 中分類:15:サービスマネジメント,,
【16:システム監査】システム監査 とは？,情報システムの信頼性・安全性・効率性を独立した立場から評価する活動,,大分類:6:サービスマネジメント / 中分類:16:システム監査,,
【16:システム監査】監査証拠 とは？,監査の結論を裏付ける情報や記録,,大分類:6:サービスマネジメント / 中分類:16:システム監査,,
【16:システム監査】監査報告書 とは？,監査の結果と改善提案をまとめた文書,,大分類:6:サービスマネジメント / 中分類:16:システム監査,,
【16:システム監査】内部統制 とは？,組織の業務の適正を確保するための体制や仕組み,,大分類:6:サービスマネジメント / 中分類:16:システム監査,,
【16:システム監査】ITガバナンス とは？,IT戦略を組織全体の戦略と整合させるための統制の仕組み,,大分類:6:サービスマネジメント / 中分類:16:システム監査,,
【17:システム戦略】EA（エンタープライズアーキテクチャ） とは？,組織全体の業務とITの構造を最適化するための設計手法,,大分類:7:システム戦略 / 中分類:17:システム戦略,,
【17:システム戦略】BPR（業務プロセス改革） とは？,既存の業務プロセスを根本から見直し再設計すること,,大分類:7:システム戦略 / 中分類:17:システム戦略,,
【17:システム戦略】SOA とは？,サービス指向アーキテクチャ。業務機能をサービスとして提供し組合せる設計手法,,大分類:7:システム戦略 / 中分類:17:システム戦略,,
【17:システム戦略】ERP とは？,企業の経営資源（人・物・金・情報）を統合的に管理するパッケージソフト,,大分類:7:システム戦略 / 中分類:17:システム戦略,,
【17:システム戦略】CRM とは？,顧客との関係を管理し、顧客満足度と売上の向上を図る仕組み,,大分類:7:システム戦略 / 中分類:17:システム戦略,,
【17:システム戦略】SCM とは？,供給連鎖管理。原材料の調達から消費者への納品までの流れを最適化する管理手法,,大分類:7:システム戦略 / 中分類:17:システム戦略,,
【17:システム戦略】SFA とは？,営業活動を支援し効率化するシステム,,大分類:7:システム戦略 / 中分類:17:システム戦略,,
【17:システム戦略】RPA とは？,定型的な事務作業をソフトウェアロボットで自動化する技術,,大分類:7:システム戦略 / 中分類:17:システム戦略,,
【17:システム戦略】DX（デジタルトランスフォーメーション） とは？,デジタル技術を活用してビジネスモデルや業務を変革すること,,大分類:7:システム戦略 / 中分類:17:システム戦略,,
【18:システム企画】RFP（提案依頼書） とは？,システム導入時にベンダーに提出する、要件と条件を記した文書,,大分類:7:システム戦略 / 中分類:18:システム企画,,
【18:システム企画】RFI（情報提供依頼書） とは？,ベンダーに技術情報や製品情報の提供を求める文書,,大分類:7:システム戦略 / 中分類:18:システム企画,,
【18:システム企画】要件定義 とは？,システムに求められる要件を明確化し文書化する工程,,大分類:7:システム戦略 / 中分類:18:システム企画,,
【18:システム企画】フィージビリティスタディ とは？,システム化の実現可能性を事前に調査・検討すること,,大分類:7:システム戦略 / 中分類:18:システム企画,,
【18:システム企画】ROI（投資利益率） とは？,投資に対する利益の割合。投資効果の評価指標,,大分類:7:システム戦略 / 中分類:18:システム企画,,
【19:経営戦略マネジメント】SWOT分析 とは？,強み・弱み・機会・脅威の4観点から経営環境を分析する手法,,大分類:8:経営戦略 / 中分類:19:経営戦略マネジメント,,
【19:経営戦略マネジメント】PPM とは？,プロダクトポートフォリオマネジメント。市場成長率と市場占有率で事業を分類,,大分類:8:経営戦略 / 中分類:19:経営戦略マネジメント,,
【19:経営戦略マネジメント】競争戦略（ポーターの3つの基本戦略） とは？,コストリーダーシップ・差別化・集中の3つの戦略,,大分類:8:経営戦略 / 中分類:19:経営戦略マネジメント,,
【19:経営戦略マネジメント】ファイブフォース分析 とは？,業界の5つの競争要因を分析し競争環境を評価するフレームワーク,,大分類:8:経営戦略 / 中分類:19:経営戦略マネジメント,,
【19:経営戦略マネジメント】バリューチェーン とは？,企業の活動を価値の連鎖として捉え、競争優位の源泉を分析する手法,,大分類:8:経営戦略 / 中分類:19:経営戦略マネジメント,,
【19:経営戦略マネジメント】コアコンピタンス とは？,他社に模倣されにくい独自の核となる能力や技術,,大分類:8:経営戦略 / 中分類:19:経営戦略マネジメント,,
【19:経営戦略マネジメント】M&A とは？,企業の合併と買収。事業拡大やシナジー効果を目的とする,,大分類:8:経営戦略 / 中分類:19:経営戦略マネジメント,,
【19:経営戦略マネジメント】アライアンス とは？,企業間の戦略的提携。互いの経営資源を活用する協力関係,,大分類:8:経営戦略 / 中分類:19:経営戦略マネジメント,,
【19:経営戦略マネジメント】BSC（バランススコアカード） とは？,財務・顧客・業務プロセス・学習と成長の4視点で経営を評価する手法,,大分類:8:経営戦略 / 中分類:19:経営戦略マネジメント,,
【19:経営戦略マネジメント】マーケティングミックス（4P） とは？,Product・Price・Place・Promotionの4要素でマーケティング戦略を構築,,大分類:8:経営戦略 / 中分類:19:経営戦略マネジメント,,
【19:経営戦略マネジメント】顧客生涯価値（LTV） とは？,1人の顧客が生涯にわたってもたらす利益の総額,,大分類:8:経営戦略 / 中分類:19:経営戦略マネジメント,,
【20:技術戦略マネジメント】MOT（技術経営） とは？,技術を経営戦略に活かすマネジメント手法,,大分類:8:経営戦略 / 中分類:20:技術戦略マネジメント,,
【20:技術戦略マネジメント】イノベーションのジレンマ とは？,既存事業の成功が新技術への対応を遅らせる現象,,大分類:8:経営戦略 / 中分類:20:技術戦略マネジメント,,
【20:技術戦略マネジメント】技術ロードマップ とは？,技術開発の方向性と時間軸を示す計画図,,大分類:8:経営戦略 / 中分類:20:技術戦略マネジメント,,
【20:技術戦略マネジメント】プロダクトライフサイクル とは？,製品の導入→成長→成熟→衰退の段階的変化,,大分類:8:経営戦略 / 中分類:20:技術戦略マネジメント,,
【21:ビジネスインダストリ】POS とは？,販売時点で商品情報を収集するシステム。レジと連動,,大分類:8:経営戦略 / 中分類:21:ビジネスインダストリ,,
【21:ビジネスインダストリ】EC（電子商取引） とは？,インターネットを通じた商品やサービスの売買,,大分類:8:経営戦略 / 中分類:21:ビジネスインダストリ,,
【21:ビジネスインダストリ】EDI（電子データ交換） とは？,企業間の取引データを標準的な形式で電子的に交換する仕組み,,大分類:8:経営戦略 / 中分類:21:ビジネスインダストリ,,
【21:ビジネスインダストリ】IoT とは？,モノのインターネット。様々な機器をインターネットに接続する技術・概念,,大分類:8:経営戦略 / 中分類:21:ビジネスインダストリ,,
【21:ビジネスインダストリ】組込みシステム とは？,特定の機能を実現するためにハードウェアに組み込まれたコンピュータシステム,,大分類:8:経営戦略 / 中分類:21:ビジネスインダストリ,,
【21:ビジネスインダストリ】FinTech とは？,金融（Finance）と技術（Technology）を組合せた革新的な金融サービス,,大分類:8:経営戦略 / 中分類:21:ビジネスインダストリ,,
【21:ビジネスインダストリ】CAD とは？,コンピュータ支援設計。製品の設計を支援するシステム,,大分類:8:経営戦略 / 中分類:21:ビジネスインダストリ,,
【21:ビジネスインダストリ】MRP（資材所要量計画） とは？,製品の生産計画から必要な資材の量と時期を計算する手法,,大分類:8:経営戦略 / 中分類:21:ビジネスインダストリ,,
【22:企業活動】損益分岐点 とは？,売上高と総費用が等しくなり損益がゼロになる売上高,,大分類:9:企業と法務 / 中分類:22:企業活動,,
【22:企業活動】変動費 とは？,売上高に比例して変動する費用。原材料費等,,大分類:9:企業と法務 / 中分類:22:企業活動,,
【22:企業活動】固定費 とは？,売上高に関係なく一定にかかる費用。家賃・人件費等,,大分類:9:企業と法務 / 中分類:22:企業活動,,
【22:企業活動】貸借対照表（B/S） とは？,ある時点の資産・負債・純資産の状態を表す財務諸表,,大分類:9:企業と法務 / 中分類:22:企業活動,,
【22:企業活動】損益計算書（P/L） とは？,一定期間の収益と費用から利益を示す財務諸表,,大分類:9:企業と法務 / 中分類:22:企業活動,,
【22:企業活動】キャッシュフロー計算書 とは？,一定期間の現金の流入と流出を示す財務諸表,,大分類:9:企業と法務 / 中分類:22:企業活動,,
【22:企業活動】減価償却 とは？,固定資産の取得原価を耐用年数にわたって費用配分する手続き,,大分類:9:企業と法務 / 中分類:22:企業活動,,
【22:企業活動】ABC分析（パレート分析） とは？,重要度の高い順にA・B・Cにランク分けする分析手法,,大分類:9:企業と法務 / 中分類:22:企業活動,,
【22:企業活動】散布図 とは？,2つの変数の関係をXY座標上の点で表すグラフ,,大分類:9:企業と法務 / 中分類:22:企業活動,,
【22:企業活動】特性要因図（フィッシュボーン） とは？,結果と原因の関係を魚の骨のような図で整理する手法,,大分類:9:企業と法務 / 中分類:22:企業活動,,
【22:企業活動】管理図 とは？,工程の品質を時系列で監視するグラフ。管理限界線を設定,,大分類:9:企業と法務 / 中分類:22:企業活動,,
【22:企業活動】QC七つ道具 とは？,品質管理に使う7つの統計的手法の総称。パレート図・管理図・散布図等,,大分類:9:企業と法務 / 中分類:22:企業活動,,
【22:企業活動】CEO とは？,最高経営責任者。企業経営の最終責任者,,大分類:9:企業と法務 / 中分類:22:企業活動,,
【22:企業活動】CIO とは？,最高情報責任者。IT戦略の立案と実行の責任者,,大分類:9:企業と法務 / 中分類:22:企業活動,,
【22:企業活動】CSR とは？,企業の社会的責任。経済・環境・社会に対する責任,,大分類:9:企業と法務 / 中分類:22:企業活動,,
【22:企業活動】BCP（事業継続計画） とは？,災害等の緊急事態に備えて事業継続のための計画を策定すること,,大分類:9:企業と法務 / 中分類:22:企業活動,,
【23:法務】著作権 とは？,著作物（プログラム含む）を創作した時点で自動的に発生する権利,,大分類:9:企業と法務 / 中分類:23:法務,,
【23:法務】特許権 とは？,発明に対して与えられる独占的な権利。出願が必要。20年間保護,,大分類:9:企業と法務 / 中分類:23:法務,,
【23:法務】営業秘密 とは？,秘密管理された事業上有用な非公知の技術・営業情報,,大分類:9:企業と法務 / 中分類:23:法務,,
【23:法務】不正競争防止法 とは？,営業秘密の侵害やドメイン名の不正取得等を規制する法律,,大分類:9:企業と法務 / 中分類:23:法務,,
【23:法務】個人情報保護法 とは？,個人情報の適正な取扱いを定めた法律,,大分類:9:企業と法務 / 中分類:23:法務,,
【23:法務】不正アクセス禁止法 とは？,他人のIDやパスワードを無断で使用する等の不正アクセスを禁止する法律,,大分類:9:企業と法務 / 中分類:23:法務,,
【23:法務】労働者派遣法 とは？,派遣労働者の保護と適正な派遣事業の運営を定めた法律,,大分類:9:企業と法務 / 中分類:23:法務,,
【23:法務】下請法 とは？,親事業者による下請事業者への不当な取扱いを規制する法律,,大分類:9:企業と法務 / 中分類:23:法務,,
【23:法務】PL法（製造物責任法） とは？,製造物の欠陥により損害が生じた場合に製造者が責任を負う法律,,大分類:9:企業と法務 / 中分類:23:法務,,
【23:法務】コンプライアンス とは？,法令遵守。企業が法律やルールを守って活動すること,,大分類:9:企業と法務 / 中分類:23:法務,,
【23:法務】ISO 9001 とは？,品質マネジメントシステムの国際規格,,大分類:9:企業と法務 / 中分類:23:法務,,
【23:法務】ISO 14001 とは？,環境マネジメントシステムの国際規格,,大分類:9:企業と法務 / 中分類:23:法務,,
【23:法務】ISO 27001 とは？,情報セキュリティマネジメントシステムの国際規格,,大分類:9:企業と法務 / 中分類:23:法務,,
【23:法務】JIS とは？,日本産業規格。日本の工業製品の品質や性能に関する国家規格,,大分類:9:企業と法務 / 中分類:23:法務,,
【基数変換】10進数 → 2進数（整数部）の変換方法は？,2で割り続けて余りを下から読む,2を掛け続けて整数部を上から読む;各桁に2のn乗の重みを掛けて合計;右から3桁ずつ区切って変換,"例: 13₁₀→2進数: 13÷2=6…1, 6÷2=3…0, 3÷2=1…1, 1÷2=0…1 → 余りを下から読んで 1101₂",,
【基数変換】10進数 → 2進数（小数部）の変換方法は？,2を掛け続けて整数部を上から読む,2で割り続けて余りを下から読む;各桁に2のn乗の重みを掛けて合計;右から4桁ずつ区切って変換,"例: 0.625₁₀→2進数: 0.625×2=1.25→1, 0.25×2=0.5→0, 0.5×2=1.0→1 → 上から読んで 0.101₂",,
【基数変換】2進数 → 10進数の変換方法は？,各桁に2のn乗の重みを掛けて合計,2で割り続けて余りを下から読む;右から3桁ずつ区切って変換;2を掛け続けて整数部を上から読む,例: 1101₂→10進数: 1×2³+1×2²+0×2¹+1×2⁰ = 8+4+0+1 = 13₁₀,,
【基数変換】2進数 → 8進数の変換方法は？,右から3桁ずつ区切り各グループを8進数1桁に変換,右から4桁ずつ区切り各グループを変換;8で割り続けて余りを下から読む;各桁に8の重みを掛けて合計,例: 10110101₂→8進数: 010|110|101 → 2|6|5 → 265₈（8=2³なので3桁ずつ）,,
【基数変換】2進数 → 16進数の変換方法は？,右から4桁ずつ区切り各グループを16進数1桁に変換,右から3桁ずつ区切り各グループを変換;16で割り続けて余りを下から読む;各桁に16の重みを掛けて合計,例: 10110101₂→16進数: 1011|0101 → B|5 → B5₁₆（16=2⁴なので4桁ずつ）,,
【基数変換】8進数 → 2進数の変換方法は？,各桁を3桁の2進数に変換して並べる,各桁を4桁の2進数に変換して並べる;8で割り続けて余りを下から読む;右から3桁ずつ区切って変換,"例: 265₈→2進数: 2→010, 6→110, 5→101 → 10110101₂",,
【基数変換】16進数 → 2進数の変換方法は？,各桁を4桁の2進数に変換して並べる,各桁を3桁の2進数に変換して並べる;16で割り続けて余りを下から読む;右から4桁ずつ区切って変換,"例: B5₁₆→2進数: B→1011, 5→0101 → 10110101₂",,
【基数変換】10進数 → 16進数の変換方法は？,16で割り続けて余りを下から読む（10以上はA〜F）,16を掛け続けて整数部を上から読む;右から4桁ずつ区切って変換;各桁に16の重みを掛けて合計,"例: 255₁₀→16進数: 255÷16=15…F, 15÷16=0…F → FF₁₆",,
【基数変換】16進数 → 10進数の変換方法は？,各桁に16のn乗の重みを掛けて合計,16で割り続けて余りを下から読む;各桁を4桁の2進数に変換;右から4桁ずつ区切って変換,例: FF₁₆→10進数: 15×16¹+15×16⁰ = 240+15 = 255₁₀,,
【基数変換】10進数 → 8進数の変換方法は？,8で割り続けて余りを下から読む,8を掛け続けて整数部を上から読む;右から3桁ずつ区切って変換;各桁に8の重みを掛けて合計,"例: 181₁₀→8進数: 181÷8=22…5, 22÷8=2…6, 2÷8=0…2 → 265₈",,
【基数変換】8進数 → 10進数の変換方法は？,各桁に8のn乗の重みを掛けて合計,8で割り続けて余りを下から読む;各桁を3桁の2進数に変換;右から3桁ずつ区切って変換,例: 265₈→10進数: 2×8²+6×8¹+5×8⁰ = 128+48+5 = 181₁₀,,
【基数変換】直接変換できないn進数同士の変換方法は？,10進数を経由して2段階で変換する,2進数を経由して変換する;16進数を経由して変換する;8進数を経由して変換する,例: 265₈→16進数: ①8進→10進:181₁₀ ②10進→16進:B5₁₆（2進⇔8進/16進はグループ化で直接変換可能）,,
【基数変換】13₁₀ を2進数に変換すると？,1101₂,1011₂;1110₂;1001₂,"13÷2=6…1, 6÷2=3…0, 3÷2=1…1, 1÷2=0…1 → 余りを下から読む → 1101₂",,
【基数変換】1101₂ を10進数に変換すると？,13,11;14;15,1×2³+1×2²+0×2¹+1×2⁰ = 8+4+0+1 = 13,,
【基数変換】10110101₂ を16進数に変換すると？,B5,A5;C5;D5,"1011|0101 → 1011=B, 0101=5 → B5₁₆",,
【基数変換】FF₁₆ を10進数に変換すると？,255,256;240;245,F=15 → 15×16¹+15×16⁰ = 240+15 = 255,,
【基数変換】10110101₂ を8進数に変換すると？,265,245;275;255,010|110|101 → 2|6|5 → 265₈,,
【基数変換】2進数⇔8進数は何桁ずつグループ化する？,3桁,2桁;4桁;8桁,8=2³ なので3桁ずつグループ化する,,
【基数変換】2進数⇔16進数は何桁ずつグループ化する？,4桁,2桁;3桁;8桁,16=2⁴ なので4桁ずつグループ化する,,
【基数変換】16進数のAは10進数でいくつ？,10,11;12;15,"A=10, B=11, C=12, D=13, E=14, F=15",,
